"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","dif_vector"
"12893","3483",1.99693757110661,6.41853782514925,14.4495757738453,4.17112941062151e-29,1.38224438679753e-26,55.6132443581352,0.25667153
"17514","554282",-3.00683004998921,6.02955969485075,-14.4413123692799,4.3713005718604e-29,1.38224438679753e-26,55.5668731238982,1.38367337
"17515","653820",-3.00683004998921,6.02955969485075,-14.4413123692799,4.3713005718604e-29,1.38224438679753e-26,55.5668731238982,-1.45252027
"17516","728833",-3.00683004998921,6.02955969485075,-14.4413123692799,4.3713005718604e-29,1.38224438679753e-26,55.5668731238982,6.01739606
"17517","729533",-3.00683004998921,6.02955969485075,-14.4413123692799,4.3713005718604e-29,1.38224438679753e-26,55.5668731238982,0.0578396300000001
"8354","5745",1.53068115448583,5.40172756097015,14.4230585302873,4.84829032711856e-29,1.51052763044608e-26,55.4644171575513,0.155283620000001
"14024","55355",-2.00509503503914,5.49875194895522,-14.4203374885016,4.92373240578648e-29,1.51179992389844e-26,55.4491417796126,-0.69128493
"8309","4804",1.43472018124156,4.68974417552239,14.4142089142996,5.09798960028361e-29,1.54294296673727e-26,55.4147347452421,2.51469947
"7653","7433",1.84263077900674,5.98769155328358,14.3961178346621,5.64930103608961e-29,1.68571960212105e-26,55.3131479975593,0.20003839
"6000","2305",-2.54155578384076,5.97999449768657,-14.2880081437896,1.04412644316062e-28,3.07234205900013e-26,54.7054685144459,0.203576940000001
"14940","259266",-8.15170696867747,15.1824655187313,-14.280429028386,1.0901116566585e-28,3.16371309013246e-26,54.6628277307472,0.96701331
"9970","1805",4.34785109919028,13.7568057313433,14.2029123599624,1.6944717594578e-28,4.85122685079365e-26,54.2264232798152,0.0822957300000002
"14363","55872",-2.93227822493387,5.10697195492537,-14.1921570545659,1.80148646277541e-28,5.08883896004799e-26,54.165831656768,-0.0636047400000002
"16676","51166",2.12632796374629,5.7888995680597,14.1874492671713,1.85043644502918e-28,5.15833506899844e-26,54.1393064914732,0.35283205
"5012","7203",-1.67480834802159,9.85437473014925,-14.1844916268155,1.88186881115396e-28,5.17782761468933e-26,54.1226412323565,5.41065554
"6550","51430",-1.89412495196491,7.40602416604478,-14.1518521158207,2.26640932641246e-28,6.15591640889415e-26,53.9386792243857,0.17073309
"5961","9768",-4.50478497664778,13.2936679462687,-14.144033766163,2.36966220530034e-28,6.3548941115814e-26,53.8946000997875,-0.0928471799999997
"9443","319",4.1020952422699,6.4190304888806,14.1118720569346,2.84642958522013e-28,7.53805714905921e-26,53.713220690534,0.0189891499999995
"3505","1776",4.90306451258299,12.1964040246269,14.0878137640142,3.26497179275345e-28,8.53971511126848e-26,53.5774841293131,0.13038716
"16515","29089",-2.44379854644804,5.59938278664179,-14.0462589409581,4.1384375352017e-28,1.06923094659492e-25,53.3429179324456,-0.63495251
"7982","29901",-2.136116228583,7.48502817522388,-14.0389497467286,4.31471537223725e-28,1.1013440948942e-25,53.3016445265531,0.620415240000003
"6238","11065",-2.34460773731984,7.43681224947761,-14.0017626024148,5.33518243272748e-28,1.34560922642577e-25,53.0915884065032,0.212054479999999
"16120","54908",-1.92079431994062,5.21898108686567,-13.902660861615,9.39908252222758e-28,2.34269367430486e-25,52.5312477758315,0.3171979
"6504","2146",-2.59026974978408,5.99323564216418,-13.8826407368684,1.05392461899856e-27,2.59633104396553e-25,52.4179539054989,0.0148666199999998
"16590","83540",-3.05751134551957,5.06476639022388,-13.7985239724543,1.70560674584649e-27,4.15344649626479e-25,51.9415905988932,-0.0317459700000002
"6772","9787",-2.6951991862915,5.19451411559701,-13.7519292444624,2.22735813471844e-27,5.36236470933464e-25,51.6774815756116,-0.06713039
"11656","4288",-7.73753199277464,21.0955418236567,-13.7468877592698,2.29263945470164e-27,5.45751230194482e-25,51.6488953286424,0.12108472
"6404","983",-7.87903450782187,20.5830504026866,-13.7189648835865,2.69052307057282e-27,6.33349130812842e-25,51.4905318131809,-0.10156842
"7029","10635",-2.31039773291768,5.39355855686567,-13.669427218149,3.57437187860238e-27,8.32160907912857e-25,51.2094356522522,-0.10156842
"1063","51302",7.80997977494466,15.4241575842537,13.660003560795,3.7729084339532e-27,8.68835196540571e-25,51.1559412876293,-0.20522778
"18839","151246",-4.74874943434008,10.4131547152985,-13.6173294028574,4.81973168345197e-27,1.09796597253348e-24,50.9136145656873,2.69457902
"15160","11093",1.68952950863698,11.6088018707463,13.5943970977404,5.49788008298272e-27,1.23912858976672e-24,50.7833373132617,0.37852369
"6182","991",-2.95409855330634,6.25415261686567,-13.5914744282566,5.59091559285119e-27,1.2468330289489e-24,50.7667310187981,-0.00871642999999978
"17593","84134",-2.17468272159245,6.61781045626866,-13.5569989402883,6.81502656219939e-27,1.50399117444538e-24,50.5707982451941,0.11335708
"16380","28982",-4.95534042934142,13.4192516024627,-13.5131813119099,8.76607203526536e-27,1.91461857875394e-24,50.3216485238687,1.56927219
"14049","10112",-2.42312552122267,5.89070921485075,-13.5053516895793,9.16955674630571e-27,1.98230846150237e-24,50.2771144294168,0.20528106
"7976","4886",2.25372128937652,3.71202005641791,13.4803384774879,1.05875520401079e-26,2.26573613658309e-24,50.134812873433,0.0925105200000012
"16002","83461",-3.44172713197301,11.8076252183582,-13.4778311931991,1.07412841477938e-26,2.2756484595516e-24,50.1205463719548,0.35462816
"17448","29128",-2.79190822083401,6.42085624544776,-13.3864721577635,1.81679319426912e-26,3.81094857562234e-24,49.6004148861466,-0.19140706
"15144","54825",2.12360400636167,6.74404265649254,13.3173431555467,2.70506193386129e-26,5.61857275792013e-24,49.206469023699,0.0119348599999993
"15159","79830",-1.51210566904184,5.35542802671642,-13.3049767248636,2.90480136897498e-26,5.97486619447611e-24,49.1359629854526,-0.098430969999999
"5587","1634",13.4969149529528,31.8695170996269,13.2993797850194,2.99999605238584e-26,6.11133811210061e-24,49.1040492691341,-0.0453580099999993
"5701","332",-5.23055755786235,16.0981901852239,-13.2848873564543,3.26126906065763e-26,6.58030917324691e-24,49.0214040415325,-0.0326156999999991
"20930","168667",1.01726317363563,2.82390148283582,13.2740405040739,3.47163213952127e-26,6.93867910451864e-24,48.9595393333871,-2.39473322
"4996","5710",-4.46875257002697,33.3234337697761,-13.257444857055,3.82010187886873e-26,7.56380172016008e-24,48.8648718464904,0.22769562
"6710","6387",5.85443351683941,14.6563533294776,13.2344807675559,4.36083668578439e-26,8.55450796528038e-24,48.7338473876704,0.20473595
"19689","401081",3.27654275058029,4.97132392865672,13.1849127384324,5.80392206496492e-26,1.12809076026006e-23,48.4509171271622,-0.0127907400000002
"9967","11311",-1.82853162522267,11.333895896194,-13.1685649150292,6.37796347919359e-26,1.22839576609269e-23,48.3575714405901,0.0749902699999998
"13692","10460",-2.00372396157085,6.16330102746269,-13.0669802183013,1.14647820512723e-25,2.18822407692122e-23,47.7771605029557,0.40452654
"11847","10486",-4.77155824320378,13.3062398823134,-13.0483742155087,1.27656166979523e-25,2.4147531728823e-23,47.6707872296792,-0.731202739999999
"20413","283600",3.3344463265803,6.72194839597015,12.9987494210054,1.70049573239444e-25,3.18522076077641e-23,47.3869767922165,0.09429373
"9174","6716",3.11783141390013,5.93194011373134,12.9973869957466,1.7139392368947e-25,3.18522076077641e-23,47.3791829209452,-0.0868247199999992
"12055","55215",-5.00891975211876,14.9114630747761,-12.995149733529,1.73624638996172e-25,3.19829540146233e-23,47.3663842407392,0.21652428
"208","54443",-4.99443698490148,9.40494624104478,-12.9936692941921,1.7511671224848e-25,3.19829540146233e-23,47.3579149523724,-0.10095568
"4759","6155",-0.652727105738185,12.5813306334328,-12.9890732947291,1.79831157574653e-25,3.23664498082357e-23,47.3316213956234,-0.0714901699999997
"6743","6905",-2.74509063637518,13.9483245669403,-12.9886497843067,1.80271928508062e-25,3.23664498082357e-23,47.3291984467506,0.18110583
"13683","55154",-4.65686098525237,19.4000194159701,-12.9826317386153,1.86653465254926e-25,3.32305908814358e-23,47.2947674627427,0.3313889
"16973","83876",2.96683541155465,12.7227924535075,12.9789511431417,1.90667385788363e-25,3.36623269609354e-23,47.2737087029177,0.954088899999999
"17128","113130",-1.77591458618084,6.09883557791045,-12.9261424891799,2.58756732377233e-25,4.49856481746086e-23,46.9714774885053,1.17782108
"12849","9077",1.61993423904453,3.58766862119403,12.9259461469168,2.59050744704156e-25,4.49856481746086e-23,46.9703535074444,-1.58353127
"13642","28511",-1.93532613116059,13.1662263147015,-12.8569187420987,3.86214697166322e-25,6.65231266192333e-23,46.575070231805,-0.343294419999999
"18110","100505881",2.57213398760054,7.75543983014925,12.8551512204407,3.90185800642064e-25,6.66651320355062e-23,46.5649452424478,2.30209399
"11122","22974",-2.43378336605398,6.41139924320896,-12.846827996051,4.09442418071394e-25,6.93955765540844e-23,46.5172646660501,-4.03715047
"18191","643836",-1.65484999573279,6.5632563830597,-12.837387987354,4.32437422385176e-25,7.27112637353359e-23,46.4631820777304,1.86480557
"14037","79019",-2.06973384589744,5.82702983619403,-12.7843505031667,5.87877358844858e-25,9.80690529487178e-23,46.1592405929438,-1.81422986
"14985","728492",-3.99146441104184,17.4439751487313,-12.765584346127,6.5537415718252e-25,1.07633774372627e-22,46.0516633807413,2.66937308
"14986","8293",-3.99146441104184,17.4439751487313,-12.765584346127,6.5537415718252e-25,1.07633774372627e-22,46.0516633807413,-0.29831205
"5384","4172",-2.02007620702024,7.60179617037313,-12.7600664321643,6.76659200923957e-25,1.102746294675e-22,46.0200285334091,-0.17071558
"9041","1555",8.77392604903374,21.8291802423134,12.7579470158818,6.85017550559495e-25,1.10784594092775e-22,46.0078772700693,-0.0299588499999999
"7942","6358",2.25726829155466,7.98680811992537,12.7412259196746,7.54691540833689e-25,1.21127992303807e-22,45.9120023262096,0.20109582
"6512","8835",5.81494929595141,12.5129721938806,12.70406566996,9.36009707671907e-25,1.49100012531857e-22,45.6988851379134,0.826659959999999
"10700","2719",-7.4167383160162,13.8520372179104,-12.6953285856963,9.84624731700658e-25,1.55673578849329e-22,45.6487675749783,0.26140883
"8381","6296",5.09415942551687,11.4290432183582,12.6935083094442,9.95067167014681e-25,1.56159207410171e-22,45.6383256699201,1.04075917
"1473","55064",2.70115729700674,17.0581605235075,12.6238829497241,1.48987855713832e-24,2.32092405231856e-22,45.2388077775648,0.14699474
"1207","26586",-2.37595223089609,8.05123035783582,-12.6193514960291,1.52954849090767e-24,2.3653295130197e-22,45.2127980904686,0.0438723700000008
"5503","4174",-3.5163519782888,13.6513248029851,-12.5915839657418,1.796817702682e-24,2.75850578616094e-22,45.0533976315921,0.72580859
"6124","27338",-2.27143285203779,6.46784953358209,-12.5835860105389,1.88214038218702e-24,2.86870691633196e-22,45.0074787522097,-0.0830673300000004
"1245","124583",-3.06653029578947,19.6374250523881,-12.5441321714204,2.36624493493887e-24,3.58080465654391e-22,44.7809206032318,0.17668286
"7523","5422",-1.56663589405668,5.86137735716418,-12.5278061990906,2.60137558963607e-24,3.9087051944702e-22,44.6871514969186,2.75975164
"13224","4499",4.83961055194871,6.55684208559702,12.5201832761707,2.71903878673452e-24,4.05672927716602e-22,44.6433649825672,0.12952587
"11701","23381",-2.46061837647503,14.9469129540298,-12.4955211298358,3.13747011097981e-24,4.64828264134394e-22,44.5016876272816,0.17922256
"17408","64651",1.51699558511201,6.63473409507463,12.4886671417727,3.26481010414309e-24,4.80335186572053e-22,44.4623088796118,0.85892761
"877","91057",-2.56323837937652,9.52670512141791,-12.4793040749248,3.44717066803629e-24,5.03667294986324e-22,44.4085114406025,-0.0468230300000005
"14262","51316",2.88371474889609,5.31625261253731,12.4737786749576,3.55953595262958e-24,5.16522799263084e-22,44.3767624488544,0.294244519999999
"13682","100129405",-3.06029709052362,12.6266088148507,-12.3886548076361,5.83544052320161e-24,8.41017979078567e-22,43.8874885203013,0.14220514
"14241","55508",-1.11623546253442,7.33362910455224,-12.3819813347545,6.06609381150303e-24,8.68353131692588e-22,43.8491191283331,0.0160856599999999
"16639","51122",-2.23203156357896,13.0568863868657,-12.370798984234,6.47322908269032e-24,9.20414975475686e-22,43.7848220793952,0.18283135
"12969","1557",2.76605569911201,5.93486151231343,12.3624127137766,6.79641597039622e-24,9.57021616692927e-22,43.7365991168499,0.581708670000001
"385","63979",-3.14024111103374,10.547945851194,-12.3617905578866,6.82102634384178e-24,9.57021616692927e-22,43.733021476934,1.94462641
"12298","4494",7.3695822791606,18.4561961512687,12.3539421827076,7.13925123113176e-24,9.95080109097088e-22,43.6878890435288,-1.39562349
"15331","10164",1.31139450289609,4.53991211455224,12.3508321742602,7.26942528785119e-24,1.00660159574128e-21,43.6700041856834,1.48977139
"7904","580",-4.3026169062861,14.7225527269403,-12.3450314824288,7.51860446742042e-24,1.03434515744655e-21,43.6366449731156,0.17591657
"5515","6626",-1.18780219211336,7.89923608134328,-12.3434501771109,7.58800334014001e-24,1.03715766944649e-21,43.6275508318586,0.26870298
"6118","2354",2.30351495521997,6.15214581485075,12.3414982426519,7.67455301309679e-24,1.04226333420172e-21,43.6163250667387,0.39253804
"7461","4495",5.16609998074494,14.3498715292537,12.3282785737077,8.28731064951558e-24,1.11831186892125e-21,43.5402939084268,0.00799562999999992
"18195","116238",-1.58025417479353,6.01291196843284,-12.3238559382524,8.50305481734755e-24,1.14016278076155e-21,43.5148563379539,0.44428832
"824","7069",10.7209728089312,18.5944429466418,12.3214753162973,8.62150442983389e-24,1.14877479780164e-21,43.5011634862052,0.0511356899999997
"13993","2188",-2.17466949052092,11.6747516673134,-12.3104789838649,9.19043565695162e-24,1.21692856142611e-21,43.4379122683497,0.485191949999999
"7475","2237",-3.96646673522807,13.2785152889552,-12.3022981985191,9.63794259176961e-24,1.26825746428094e-21,43.3908534502443,2.46594989
"6244","5993",-2.4558060097274,13.6369435850746,-12.3006539057683,9.73048840220417e-24,1.2725316499327e-21,43.3813946104613,1.4011257
"5607","4175",-2.59618129317679,11.0250300486567,-12.2879039607367,1.04789491018041e-23,1.36200623110934e-21,43.3080470773329,0.57403695
"15356","57817",5.09258066945479,7.57663958007463,12.2860471114866,1.05926578974032e-23,1.36839055008771e-21,43.2973645876178,-1.63673667
"10621","4162",-5.52120617935495,33.1473818824627,-12.2788108579588,1.10476980934469e-23,1.41852443519858e-21,43.2557331773377,0.00577632999999977
"6479","6635",-3.19448420435089,21.6767913476119,-12.2559420703312,1.26184419238417e-23,1.61002831252736e-21,43.1241536975298,-0.11614243
"10864","2954",2.24128824419163,7.58150505977612,12.2549537404169,1.26911511466095e-23,1.61002831252736e-21,43.1184667858834,0.426082
"2893","112770",-4.84287900753306,22.1744380012687,-12.2345927261704,1.42859967415779e-23,1.80156623194684e-21,43.0013012373573,0.230157569999999
"5400","5420",-1.80768633116599,6.57704304992537,-12.2323169527584,1.44762813085828e-23,1.81476033019902e-21,42.9882046892078,-0.191619279999999
"18259","79692",-1.23706723645885,7.03497755701493,-12.2305397579164,1.46266406068071e-23,1.82282357585774e-21,42.9779772310441,-0.27713172
"12290","11339",-1.97712257041026,5.05904634813433,-12.2288226747492,1.47733988077354e-23,1.83034635754785e-21,42.9680956106956,0.13841368
"5988","10445",-1.09686625956275,6.44054875,-12.1918102984074,1.83210702216177e-23,2.24759592237291e-21,42.7550712590001,-0.0498031700000001
"17460","81610",-2.58758118769501,6.24681141664179,-12.1915075901415,1.83533510134293e-23,2.24759592237291e-21,42.7533288517236,1.06625954
"5119","3838",-3.76879833850474,17.0043182970149,-12.186516023747,1.88939358539511e-23,2.30049956897591e-21,42.7245966927409,0.650418010000001
"6278","10535",-2.00678687483671,6.71911016992537,-12.1731936478488,2.04160647381747e-23,2.47162712881696e-21,42.6479075765705,0.23436264
"17232","51692",-1.2241774114602,7.45145906029851,-12.1662721593238,2.12547120307657e-23,2.55853596070342e-21,42.6080625492147,0.12526039
"4304","10024",-2.84908023043725,11.6805182972388,-12.1562134328867,2.25353326745024e-23,2.69736473470061e-21,42.550154848758,-0.33767691
"5807","6944",-1.36707483123616,7.70186832201493,-12.1530179187575,2.29581159854453e-23,2.73253171498677e-21,42.5317577841967,-4.17889526
"1066","1841",-4.53122559771392,25.665439913209,-12.15033221071,2.33195832522413e-23,2.76004855185466e-21,42.5162955243805,-0.0158759599999989
"15059","3070",-8.72616238428609,22.0755248016418,-12.1453637372821,2.40033693432677e-23,2.82519657170261e-21,42.4876902975272,1.46593745
"5709","4171",-2.34071164986775,6.85856763074627,-12.1204856376632,2.77411390006908e-23,3.24709265673279e-21,42.3444479686277,-0.35358528
